Tax transferee,Amount due,Tax years due,Date,Land use code,Census tract
ABERON FUND 1 LLC C/O RIAH CAPITAL MANAGEMENT LLC,"$3,569.20 ","20,142,015",9/1/2018,102,13121008400
"Spyke Ten, LLC","$31,060.81 ","2,008,200,920,102,010,000,000,000,000",11/1/2015,102,13121004100
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$13,872.93 ","201,120,122,013,201,000,000,000",11/1/2018,101,13121004100
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,196.10 ","201,420,152,016",10/1/2017,699,13121008500
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,960.04 ","20,142,015",5/1/2017,699,13121008500
"INVESTA SERVICES, LLC CHRISTINA TRUST AS CUSTODIAN","$1,582.73 ",2014,2/1/2016,699,13121008500
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$29,370.38 ","20,092,010,201,120,100,000",4/1/2016,300,13121002400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$4,112.96 ","201,720,182,019",3/1/2021,100,13121002300
"InVesta Services, LLC, Servicer For Christiana Trust, Custodian for GSRAN-Z, LLC","$8,993.32 ","201,120,122,013,201,000,000,000",9/1/2018,101,13121006700
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$12,852.54 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121006300
,"$1,222.63 ","201,320,142,015",3/1/2017,101,13121008601
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECIEVABLE LLC","$7,916.42 ","200,820,102,011",7/1/2015,101,13121008601
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$33,425.51 ","20,092,010,201,120,100,000",4/1/2016,300,13121002400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,637.45 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,101,13121002400
Investa Services of GA Christina Trust as Custodian,"$7,636.80 ","2,010,201,120,122,010",8/1/2015,102,13121008400
,"$10,039.05 ",2015,3/1/2017,210,13121011202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,704.48 ","20,122,013,201,420,100,000",6/1/2018,101,13121008500
"NORTHERN INVESTMENTS, LLC","$1,909.69 ","2,011,201,220,132,010",4/1/2018,100,13121002300
"NORTHERN INVESTMENTS, LLC","$3,847.71 ","2,008,200,920,102,010,000,000,000,000",12/1/2016,100,13121002300
"NORTHERN INVESTMENTS, LLC","$3,035.27 ","2,008,200,920,102,010,000,000,000,000",11/1/2017,100,13121002300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,298.99 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,101,13121006700
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for  Granite Tax, LLC;InVesta Services of GA as custodian for Granite Tax, LLC","$2,880.60 ","20,122,013",3/1/2015,101,13121008400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,214.70 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,101,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,699.32 ","20,142,015,201,620,100,000",12/1/2019,101,13121004100
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$2,303.22 ","20,132,015",8/1/2016,101,13121002400
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,967.04 ",2013,10/1/2016,101,13121008500
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$8,736.85 ","201,020,112,012",12/1/2016,101,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$4,310.65 ","20,142,015",4/1/2017,101,13121004100
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,422.72 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121006400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$12,336.17 ","2,013,201,420,152,010,000,000,000,000",2/1/2021,100,13121003900
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$18,258.36 ","2,009,201,020,112,010,000,000,000,000",4/1/2016,102,13121008500
,"$24,011.90 ","20,112,012",12/1/2017,300,13121008601
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,406.24 ","20,152,016",6/1/2019,101,13121002400
,"$14,731.61 ","20,092,010",2/1/2016,300,13121002400
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$7,940.72 ","20,112,012,201,320,100,000,000,000,000,000",8/1/2019,101,13121008500
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,275.85 ",2016,10/1/2018,101,13121006000
,"$12,668.24 ","20,152,016",10/1/2018,300,13121002400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,433.94 ","201,120,122,013,201,000,000,000",12/1/2018,101,13121008500
,"$6,131.65 ",2016,9/1/2018,339,13121008102
,"$22,790.23 ","20,152,017,201,820,100,000",11/1/2021,339,13121008102
,"$30,547.25 ","201,120,122,013,201,000,000,000",12/1/2017,339,13121008102
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$7,583.45 ",2018,10/1/2020,300,13121004100
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$2,342.45 ","201,320,142,015",4/1/2016,100,13121002300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,421.64 ","2,016,201,720,182,010",11/1/2020,100,13121002300
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,203.58 ",2014,9/1/2020,100,13121002300
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$8,011.96 ","201,120,122,013,201,000,000,000",9/1/2018,101,13121002300
"NVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,266.78 ","201,120,122,013,201,000,000,000",12/1/2018,101,13121003900
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,167.34 ",2014,12/1/2019,101,13121006400
,"$6,703.86 ",2016,2/1/2019,300,13121002400
,"$35,423.08 ","2,010,201,120,122,010,000,000,000,000",8/1/2017,339,13121008102
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,160.10 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,101,13121006300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$3,271.37 ","201,320,142,015",12/1/2016,101,13121008500
"InVesta Services of GA as custodian for Fulton Tax Capital IV, LLC","$1,789.19 ",2012,2/1/2015,107,13121008700
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$8,860.10 ",2011,11/1/2017,374,13121006100
"NATHANIEL SCOTT DBA LEGAL LAND DEVELOPMENT, LLC","$1,212.15 ",2018,9/1/2020,101,13121006000
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$10,929.30 ","201,120,122,013,201,000,000,000",9/1/2018,101,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,109.29 ","2,015,201,620,172,010,000,000,000,000",9/1/2022,100,13121007001
,"$9,834.54 ","201,120,122,013,201,000,000,000",5/1/2018,101,13121005502
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$7,146.89 ","201,320,142,015",11/1/2016,101,13121005502
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,770.40 ","201,120,122,013,201,000,000,000",12/1/2018,101,13121011800
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,371.04 ","20,172,018",9/1/2020,100,13121007300
INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z,"$9,407.98 ","201,120,122,013,201,000,000,000",9/1/2018,101,13121011800
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$2,704.98 ",2011,12/1/2017,100,13121007400
"RIAH CAPITAL MANAGEMENT, LLC, AS NOMINEE FOR FGMS FUND V, LP","$18,281.38 ","2,009,201,020,112,010",6/1/2015,101,13121011800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$7,693.78 ","2,013,201,420,152,010",10/1/2017,101,13121011800
,"$9,486.05 ","201,020,112,012",3/1/2017,101,13121006200
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$1,495.58 ","20,132,014",9/1/2016,101,13121007602
InVesta Services of GA Christina Trust as Custodian,"$1,761.88 ","20,122,013",6/1/2016,100,13121007300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST, CUSTODIAN  FOR GSRAN-Z","$3,966.19 ","201,420,152,016",2/1/2020,100,13121007400
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$819.46 ,2018,3/1/2021,100,13121007300
,"$6,367.82 ","20,192,020",11/1/2021,300,13121007602
"TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$8,203.10 ","20,102,011",5/1/2016,101,13121005502
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,828.56 ","20,172,018",4/1/2021,100,13121007300
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$2,244.23 ","20,172,018",4/1/2020,100,13121007300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,617.21 ","2,011,201,220,152,010",2/1/2019,100,13121011800
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for Fulton Tax Capital IV, LLC","$2,386.16 ","20,122,013",3/1/2015,101,13121007602
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for  Granite Tax, LLC;InVesta Services of GA as custodian for Granite Tax, LLC","$2,863.86 ","20,122,013",3/1/2015,101,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$2,267.82 ","201,720,182,019",11/1/2020,100,13121006200
"LEMMA, LLC","$9,298.65 ","201,120,122,013,201,000,000,000",2/1/2019,100,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,380.66 ","2,013,201,420,152,010",2/1/2018,100,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,094.65 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121007400
,"$14,394.42 ","201,020,112,012,201,000,000,000",3/1/2017,101,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,328.41 ","201,120,122,013,201,000,000,000",12/1/2018,100,13121011800
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$9,106.02 ","200,720,082,009,201,000,000,000",6/1/2015,102,13121006200
,"$13,684.46 ","201,020,112,012,201,000,000,000",6/1/2017,101,13121006200
,"$9,798.59 ","201,320,142,015,201,000,000,000",3/1/2020,300,13121007602
"United Tax & Realty, LLC","$8,779.04 ","20,112,012,201,320,100,000",4/1/2018,101,13121008202
"INVESTA SERVICES LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$4,411.68 ","20,112,012,201,320,100,000",6/1/2016,101,13121008202
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,586.91 ",2018,9/1/2021,332,13121007602
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,045.99 ","20,142,015",3/1/2017,101,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,015.19 ","201,420,152,016",6/1/2018,2C1,13121007001
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$1,354.56 ",2014,8/1/2020,101,13121007400
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,948.00 ","2,015,201,620,182,020",11/1/2021,101,13121007400
"INVESTA SERVICES OF GA AS CUSTODIAN FOR GRANITE TAX, LLC; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$1,223.91 ","20,122,013",2/1/2019,101,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$4,891.13 ","2,012,201,320,142,010",2/1/2017,101,13121008202
"InVesta Services, LLC Servicer for Christiana Trst. Custodian for GSRAN-Z","$10,144.93 ","20,172,018,201,920,200,000",10/1/2022,101,13121008202
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,218.71 ",2018,2/1/2021,300,13121007400
,"$16,622.21 ","201,520,162,017,201,000,000,000",4/1/2022,101,13121007400
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$2,053.77 ",2011,11/1/2017,100,13121008202
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$3,202.22 ","20,142,015",3/1/2017,100,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$5,020.09 ","2,014,201,520,172,010",12/1/2019,100,13121008202
"Investa Services as as custodian for Granite Tax, LLC;Investa Services as Custodian for Christiana Trust;InVesta Services of GA as custodian for Granite Tax, LLC","$1,935.46 ","20,122,013",4/1/2015,100,13121008202
,"$3,186.62 ",2020,5/1/2022,100,13121008202
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$13,669.12 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,100,13121006200
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$4,144.64 ",2011,12/1/2016,101,13121007400
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$2,045.05 ","20,112,012",11/1/2015,101,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$4,382.42 ","201,420,152,016",2/1/2018,101,13121007602
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,868.70 ","20,142,015",3/1/2017,300,13121007300
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$10,004.45 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121008202
,"$32,197.32 ","201,020,112,012,201,000,000,000",3/1/2017,300,13121006200
,"$12,229.74 ","20,112,012",12/1/2017,300,13121006200
"ABERON FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC SUBSEQUENTLY TRANSFERRED TO BEOR FUND 1, LLC C/O RIAH CAPITAL MANAGEMENT LLC","$4,929.40 ",2015,12/1/2017,400,13121001002
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$579.29 ,2018,4/1/2021,100,13121007001
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$2,714.56 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,100,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$4,228.36 ","2,013,201,420,152,010,000,000,000,000",10/1/2020,100,13121005502
,"$8,554.55 ","20,102,011",5/1/2017,101,13121006200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODAIN FOR GSRAN-Z","$4,468.64 ","2,013,201,420,152,010,000,000,000,000",2/1/2021,100,13121005502
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,518.71 ","201,120,122,013,201,000,000,000",11/1/2018,101,13121008202
,"$33,315.42 ","201,520,162,017,201,000,000,000",3/1/2022,300,13121006200
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,608.63 ","20,142,015",3/1/2017,100,13121007300
METRO M3 INC,"$9,223.29 ","2,012,201,320,142,010,000,000,000,000",4/1/2020,100,13121005502
"INVESTA SERVICES, LLC SERVICER FOR CHRISTINA TRST. CUSTODIAN FOR GSRAN-Z, INVESTA SERVICES LLC CHRISTINA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTINA TRUST AS CUSTODIAN","$2,451.26 ","201,320,142,015",8/1/2016,101,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$5,594.12 ","201,120,122,013,201,000,000,000",12/1/2018,100,13121007400
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$22,209.01 ","20,082,009",9/1/2015,685,13121011800
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$1,777.07 ","20,132,014",4/1/2017,332,13121011800
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLE LLC","$3,733.86 ",2013,10/1/2016,332,13121011800
,"$4,826.19 ","2,008,200,920,102,010,000,000,000,000",11/1/2015,100,13121008201
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$1,708.19 ",2011,4/1/2017,101,13121008201
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$11,758.53 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121008201
"InVesta Services, LLC, Servicer For Christiana Trst. Custodian for GSRAN-Z","$6,371.60 ","2,012,201,320,142,010,000,000,000,000",8/1/2019,101,13121008302
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,631.23 ","2,010,201,120,122,010,000,000,000,000",10/1/2017,400,13121011800
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS THE NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$2,800.50 ",2011,5/1/2017,101,13121008201
,"$13,443.14 ","20,092,010",5/1/2016,210,13121008302
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$9,087.86 ","20,152,016",10/1/2017,100,13121011800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$2,952.04 ","201,320,152,016",2/1/2019,101,13121008302
"Investa Services of GA Christiana Trust as Custodian Investa Services of GA as Nominee for Fulton Tax Capital IV, LLC","$1,737.16 ","20,122,013",6/1/2015,101,13121008201
INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN,"$1,111.58 ",2014,10/1/2017,101,13121008201
,"$5,628.80 ","20,122,013,201,420,100,000",6/1/2019,100,13121008302
,"$34,327.08 ","2,009,201,020,112,010,000,000,000,000",8/1/2016,210,13121008302
"Investa Services of GA Christina Trust as Custodian; Investa Services, LLC Christiana Trust as Custodian","$11,161.69 ","200,920,102,011,201,000,000,000",8/1/2015,101,13121008000
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$6,927.31 ","20,142,015,201,620,100,000",9/1/2019,101,13121008302
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY",$970.28 ,"20,172,018",8/1/2020,100,13121007001
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,231.72 ","20,172,018",3/1/2021,100,13121007001
,"$29,295.80 ","200,920,102,011",8/1/2016,332,13121011800
,"$61,226.25 ","2,009,201,020,112,010,000,000,000,000",12/1/2016,332,13121011800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$61,780.13 ","2,010,201,120,122,010,000,000,000,000",11/1/2017,332,13121011800
"RIAH CAPITAL MANAGEMENT, LLC AS CUSTODIAN FOR JUNO TAX RECEIVABLES LLC","$29,185.90 ",2013,9/1/2015,401,13121011800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$8,920.25 ","201,120,122,013,201,000,000,000",11/1/2018,101,13121008201
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$11,688.99 ","2,014,201,520,162,010,000,000,000,000",9/1/2021,100,13121008000
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,069.46 ","20,172,018",11/1/2020,100,13121007001
"RIAH CAPITAL MANAGEMENT, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC SUBSEQUENTLY TRANSFERRED TO TAX PORTFOLIO SERVICES, LLC AS NOMINEE FOR SOUTHERN TAX CAPITAL LLC","$3,536.79 ",2011,12/1/2016,101,13121003800
InVesta Services LLC Christina Trust as Custodian,"$1,524.57 ",2014,6/1/2016,101,13121008201
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$11,749.23 ","201,120,122,013,201,000,000,000",10/1/2018,101,13121008000
CAP MANAGEMENT GROUP LLC,"$3,761.29 ","20,122,013",2/1/2020,101,13121008302
"Plymouth Park Tax Services LLC c/o Vesta Holdings;Plymouth Park Tax Services, LLC","$6,049.79 ","20,082,009",4/1/2015,100,13121007400
JEFFERSON SIDOR,"$4,735.91 ","201,720,182,019",10/1/2021,100,13121007400
INVESTA SERVICES LLC AS NOMINEE FOR 2011 SANAT CAPITAL LLC,"$3,002.20 ","20,102,011",9/1/2016,101,13121008201
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$14,151.61 ","2,015,201,620,172,010,000,000,000,000",8/1/2022,101,13121008202
"Investa Services LLC Servicer for Christiana Trst. Custodian for GSRAN-Z, INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN, INVESTA SERVICES OF GA CHRISTIANA TRUST AS CUSTODIAN","$5,142.73 ","201,320,142,015",6/1/2016,101,13121008202
"INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN; INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z;","$3,951.40 ","20,142,015",3/1/2017,101,13121007001
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z; INVESTA SERVICES LLC CHRISTIANA TRUST AS CUSTODIAN","$4,556.96 ","20,142,015",12/1/2019,101,13121008202
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$29,033.30 ","20,152,016,201,820,100,000",11/1/2021,361,13121005502
"FIG AS CUSTODIAN FOR FIG GA13, LLC AND SECURED PARTY","$1,536.35 ",2018,2/1/2022,520,13121004200
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$1,910.08 ","20,122,015,201,620,100,000",9/1/2019,100,13121011800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$4,320.13 ","201,120,122,013,201,000,000,000",12/1/2018,100,13121011800
"INVESTA SERVICES, LLC SERVICER FOR CHRISTIANA TRST. CUSTODIAN FOR GSRAN-Z","$19,308.70 ","2,016,201,720,182,010",4/1/2021,300,13121004200
